Word,Character Count,value
agitation,9,96
agitators,9,110
ago,3,23
agonized,8,81
agonizing,9,102
agony,5,62
agree,5,36
agreeable,9,56
agreed,6,40
agreeing,8,66
agreement,9,88
agreements,10,107
agrees,6,55
agricultural,12,143
aground,7,80
ah,2,9
aha,3,10
ahead,5,19
ahem,4,27
ahold,5,40
ahoy,4,49
ai,2,10
aid,3,14
aide,4,19
aided,5,23
aides,5,38
aiding,6,44
aids,4,33
ail,3,22
ailing,6,52
ailment,7,74
ailments,8,93
ails,4,41
aim,3,23
aimed,5,32
aiming,6,53
aimless,7,78
aimlessly,9,115
aims,4,42
ain,3,24
air,3,28
airborne,8,82
aircraft,8,76
airfield,8,64
airhead,7,46
airing,6,58
airlift,7,75
airlifted,9,84
airline,7,68
airlines,8,87
airman,6,56
airmen,6,60
airplane,8,76
airplanes,9,95
airport,7,97
airports,8,116
airs,4,47
airspace,8,72
airstrip,8,110
airtight,8,92
airwaves,8,98
airway,6,77
airways,7,96
aisle,5,46
aisles,6,65
ajar,4,30
al,2,13
ala,3,14
alabaster,9,79
alameda,7,37
alamo,5,42
alan,4,28
alarm,5,45
alarmed,7,54
alarming,8,75
alarmist,8,93
alarms,6,64
alas,4,33
alaska,6,45
alastor,7,86
albacore,8,57
albatross,9,107
albino,6,53
album,5,49
albums,6,68
alcazar,7,62
alchemist,9,90
alchemy,7,67
alcohol,7,66
alcoholic,9,78
alcoholics,10,97
alcoholism,10,107
alcove,6,58
alderman,8,68
ale,3,18
alec,4,21
alert,5,56
alerted,7,65
alerting,8,86
alerts,6,75
ales,4,37
alexander,9,84
alfalfa,7,39
algae,5,26
algebra,7,46
algorithms,10,122
alias,5,42
aliases,7,66
alibi,5,33
alibis,6,52
alien,5,41
alienate,8,67
alienated,9,71
alienating,10,92
alienation,10,100
aliens,6,60
alight,6,57
aligning,8,73
alike,5,38
alimony,7,89
alive,5,49
all,3,25
allee,5,35
allegation,10,96
allegations,11,115
alleged,7,46
allegedly,9,83
allegiance,10,69
allegiances,11,88
alleging,8,67
alleluia,8,73
allergic,8,67
allergies,9,88
allergy,7,80
alleviate,9,87
alley,5,55
alleys,6,74
alliance,8,57
allies,6,58
alligator,9,95
alligators,10,114
alliteration,12,136
allotted,8,89
allow,5,63
allowable,9,83
allowance,9,86
allowed,7,72
allowing,8,93
allows,6,82
alluding,8,80
allure,6,69
alluring,8,94
ally,4,50
alma,4,27
almighty,8,95
almond,6,59
almonds,7,78
almost,6,80
aloe,4,33
aloft,5,54
aloha,5,37
alone,5,47
along,5,49
alongside,9,86
aloud,5,53
alpha,5,38
alphabet,8,65
alphabetically,14,127
alphabetized,12,109
alpine,6,57
already,7,66
alright,7,75
als,3,32
also,4,47
alt,3,33
altar,5,52
alter,5,56
alteration,10,115
alterations,11,134
altercation,11,118
altered,7,65
altering,8,86
alternate,9,96
alternates,10,115
alternating,11,121
alternative,11,127
alternatives,12,146
alternator,10,124
alters,6,75
although,8,92
altitude,8,92
alto,4,48
altogether,10,111
altruistic,10,132
aluminum,8,104
alumni,6,70
alumnus,7,101
always,6,81
am,2,14
ama,3,15
amah,4,23
amaretto,8,93
amassed,7,62
amateur,7,79
amateurs,8,98
amaze,5,46
amazed,6,50
amazes,6,65
amazing,7,71
amazingly,9,108
amazon,6,70
ambassador,10,93
amber,5,39
ambiance,8,48
ambience,8,52
ambient,7,64
ambiguity,9,107
ambiguous,9,108
ambition,8,83
ambitions,9,102
ambitious,9,109
ambivalence,11,87
ambivalent,10,99
ambrosia,8,78
ambulance,9,72
ambulances,10,91
ambush,6,64
ambushed,8,73
amen,4,33
amend,5,37
amended,7,46
amendment,9,89
amendments,10,108
amends,6,56
amenities,9,95
ami,3,23
amiable,7,43
amicable,8,46
amigo,5,45
amigos,6,64
amin,4,37
amino,5,52
amiss,5,61
ammo,4,42
ammonia,7,66
ammunition,10,129
amnesia,7,62
amniotic,8,84
among,5,50
amongst,7,89
amoral,6,60
amorous,7,102
amount,6,84
amounted,8,93
amounts,7,103
amp,3,30
amphetamines,12,124
ampicillin,10,98
ample,5,47
amply,5,67
ampule,6,68
amputate,8,97
amputated,9,101
amputation,10,130
amulet,6,72
amulets,7,91
amuse,5,59
amused,6,63
amusement,9,111
amuses,6,78
amusing,7,84
an,2,15
ana,3,16
anachronism,11,115
anaesthetic,11,105
anagram,7,55
anal,4,28
analogy,7,75
analyse,7,77
analysis,8,100
analyst,7,92
analysts,8,111
analyze,7,84
analyzed,8,88
analyzing,9,109
anaphylactic,12,113
anarchist,9,93
anarchists,10,112
anarchy,7,70
anatomically,12,126
anatomy,7,89
ancestor,8,95
ancestors,9,114
anchor,6,59
anchorage,9,72
anchoring,9,89
anchors,7,78
anchovies,9,96
ancient,7,66
ancients,8,85
and,3,19
android,7,65
ane,3,20
anecdote,8,67
anecdotes,9,86
anemia,6,43
anemic,6,45
anesthesia,10,101
anesthesiologist,16,197
anesthesiology,14,174
anesthetic,10,104
anesthetics,11,123
aneurysm,8,116
anew,4,43
angel,5,39
angels,6,58
angelus,7,79
anger,5,45
angina,6,46
angiogram,9,85
angioplasty,11,139
angle,5,39
angles,6,58
angling,7,64
angora,6,56
angrier,7,72
angrily,7,86
angry,5,65
angst,5,61
anguish,7,79
anguished,9,88
ani,3,24
animal,6,50
animals,7,69
animated,8,67
animation,9,96
animosity,9,125
anise,5,48
ankle,5,43
ankles,6,62
anna,4,30
annals,6,61
annex,5,58
annihilate,10,93
annihilated,11,97
annihilation,12,126
anniversary,11,146
announce,8,87
announced,9,91
announcement,12,139
announcements,13,158
announcer,9,105
announces,9,106
announcing,10,112
annoy,5,69
annoyance,9,92
annoyances,10,111
annoyed,7,78
annoying,8,99
annoyingly,10,136
annoys,6,88
annual,6,63
annually,8,100
annul,5,62
annulled,8,83
annulment,9,114
anoint,6,73
anointed,8,82
anomalies,9,89
anomaly,7,81
anon,4,44
anonymity,9,136
anonymous,9,137
anorexia,8,87
anorexic,8,89
another,7,81
answer,6,80
answered,8,89
answering,9,110
answers,7,99
ant,3,35
antacid,7,52
antagonism,10,113
antagonistic,12,132
antagonize,10,112
antagonizing,12,137
ante,4,40
antelope,8,88
antenna,7,69
antennae,8,74
anthem,6,61
anthology,9,117
anthrax,7,86
anthropologist,14,189
anthropologists,15,208
anthropology,12,166
anti,4,44
antibiotic,10,102
antibiotics,11,121
antibodies,10,98
antibody,8,90
anticipate,10,98
anticipated,11,102
anticipating,12,123
anticipation,12,131
antics,6,66
antidepressant,14,165
antidepressants,15,184
antidote,8,88
antihistamine,13,142
antihistamines,14,161
antiquated,10,112
antique,7,87
antiques,8,106
antiquing,9,112
antiquities,11,144
antiquity,9,136
antisocial,10,103
antivenin,9,108
antler,6,70
ants,4,54
antsy,5,79
anvil,5,58
anxiety,7,98
anxious,7,103
anxiously,9,140
any,3,40
anybody,7,86
anyhow,6,86
anymore,7,91
anyone,6,74
anyplace,8,77
anything,8,98
anytime,7,87
anyway,6,89
anyways,7,108
anywhere,8,99
apache,6,34
apart,5,56
apartheid,9,82
apartment,9,108
apartments,10,127
apathy,6,71
ape,3,22
apes,4,41
apex,4,46
aphrodisiac,11,103
apiece,6,39
aplastic,8,81
apocalypse,10,113
apocalyptic,11,121
apollo,6,71
apologetic,10,103
apologies,9,99
apologise,9,99
apologize,9,106
apologized,10,110
apologizes,10,125
apologizing,11,131
apology,7,91
apostle,7,88
apostles,8,107
apostrophe,10,133
appalled,8,67
appalling,9,88
apparatus,9,113
apparel,7,69
apparent,8,91
apparently,10,128
apparition,10,119
appeal,6,51
appealed,8,60
appealing,9,81
appeals,7,70
appear,6,57
appearance,10,80
appearances,11,99
appeared,8,66
appearing,9,87
appears,7,76
appease,7,63
appeased,8,67
appendage,9,69
appendages,10,88
appendectomy,12,137
appendicitis,12,125
appendix,8,89
appetite,8,92
appetites,9,111
appetizer,9,116
appetizers,10,135
appetizing,10,123
applaud,7,71
applauded,9,80
applauding,10,101
applause,8,91
apple,5,50
applejack,9,75
apples,6,69
applesauce,10,99
appliance,9,77
appliances,10,96
applicants,10,111
application,11,116
applications,12,135
applied,7,63
applies,7,78
apply,5,70
applying,8,100
appoint,7,91
appointed,9,100
appointing,10,121
appointment,11,143
appointments,12,162
appraisal,9,93
appraise,8,85
appreciate,10,94
appreciated,11,98
appreciates,11,113
appreciation,12,127
appreciative,12,125
apprehend,9,87
apprehended,11,96
apprehension,12,140
apprehensive,12,138
apprentice,10,107
apprised,8,88
approach,8,78
approached,10,87
approaches,10,102
approaching,11,108
appropriate,11,135
appropriately,13,172
appropriations,14,187
approval,8,101
approve,7,93
approved,8,97
approving,9,118
approximate,11,138
approximately,13,175
approximation,13,171
apricot,7,82
apron,5,64
aprons,6,83
apropos,7,100
aptitude,8,96
aptly,5,74
aqua,4,40
aquarium,8,101
aquatic,7,72
ar,2,19
arachnid,8,58
arachnids,9,77
arbitrary,9,112
arbitration,11,127
arbitrator,10,122
arbor,5,54
arboretum,9,113
arc,3,22
arcade,6,32
arch,4,30
archaic,7,43
arched,6,39
archenemy,9,92
archeological,13,109
archeology,10,109
archer,6,53
arches,6,54
architect,9,87
architects,10,106
architecture,12,131
archives,8,85
arctic,6,54
ardent,6,62
are,3,24
area,4,25
areas,5,44
arena,5,39
arf,3,25
argentine,9,93
argon,5,55
arguably,8,87
argue,5,52
argued,6,56
argues,6,71
arguing,7,77
argument,8,99
argumentative,13,156
arguments,9,118
argyle,6,68
aria,4,29
arid,4,32
ariel,5,45
aright,6,63
arise,5,52
arises,6,71
aristocratic,12,136
arithmetic,10,106
ark,3,30
arm,3,32
armaments,9,104
armed,5,41
armies,6,65
arming,6,62
armor,5,65
armored,7,74
armory,6,90
armour,6,86
armpits,7,96
arms,4,51
army,4,57
aroma,5,48
arose,5,58
around,6,73
arouse,6,79
aroused,7,83
arousing,8,104
arraigned,9,77
arraignment,11,120
arrange,7,64
arranged,8,68
arrangement,11,116
arrangements,12,135
arranging,9,89
array,5,63
arrears,7,80
arrest,6,81
arrested,8,90
arresting,9,111
arrests,7,100
arrhythmia,10,121
arrival,7,81
arrivals,8,100
arrive,6,73
arrived,7,77
arrives,7,92
arriving,8,98
arrogance,9,82
arrogant,8,94
arrow,5,75
arrowhead,9,93
arrows,6,94
arroyo,6,92
arse,4,43
arsenal,7,70
arsenic,7,69
arson,5,67
arsonist,8,115
art,3,39
arterial,8,84
arteries,8,95
artery,6,87
artful,6,78
arthritis,9,122
artichoke,9,90
artichokes,10,109
article,7,68
articles,8,87
articulate,10,110
artifact,8,78
artifacts,9,97
artificial,10,88
artillery,9,120
artist,6,87
artiste,7,92
artistic,8,99
artistry,8,130
artists,7,106
arts,4,58
artsy,5,83
artwork,7,106
arty,4,64
arugula,7,81
as,2,20
asbestos,8,100
ascension,9,99
ascot,5,58
ash,3,28
ashamed,7,51
ashes,5,52
ashore,6,66
ashram,6,60
ashtray,7,92
ashtrays,8,111
aside,5,38
asinine,7,71
ask,3,31
asked,5,40
askew,5,59
asking,6,61
asks,4,50
asleep,6,58
asparagus,9,103
aspect,6,64
aspects,7,83
aspen,5,55
asphalt,7,77
asphyxiation,12,161
aspirations,11,141
aspire,6,68
aspirin,7,86
aspirins,8,105
ass,3,39
assailant,9,96
assassin,8,101
assassinate,11,127
assassination,13,160
assassins,9,120
assault,7,93
assaulted,9,102
assaulting,10,123
assaults,8,112
assemble,8,76
assembled,9,80
assembler,9,94
assemblies,10,104
assembling,10,101
assembly,8,96
assertive,9,118
assertiveness,13,175
asses,5,63
assess,6,82
assessed,8,91
assessing,9,112
assessment,10,134
asset,5,64
assets,6,83
asshole,7,79
assholes,8,98
assign,6,69
assigned,8,78
assigning,9,99
assignment,10,121
assignments,11,140
assimilate,10,108
assimilated,11,112
assist,6,87
assistance,10,110
assistant,9,122
assistants,10,141
assisted,8,96
assisting,9,117
associate,9,92
associated,10,96
associates,10,111
associating,11,117
association,11,125
associations,12,144
assorted,8,101
assortment,10,144
assume,6,78
assumed,7,82
assumes,7,97
assuming,8,103
assumption,10,147
assumptions,11,166
assurance,9,101
assurances,10,120
assure,6,83
assured,7,87
assuredly,9,124
assures,7,102
assuring,8,108
asteroid,8,91
asteroids,9,110
asthma,6,62
astonished,10,114
astonishing,11,135
astonishment,12,157
astound,7,94
astounding,10,124
astral,6,71
astray,6,84
astronaut,9,129
astronauts,10,148
astronomer,10,138
astronomical,12,140
astronomy,9,140
astrophysics,12,172
astute,6,86
asunder,7,82
asylum,6,91
at,2,21
ate,3,26
atheists,8,101
athlete,7,71
athletes,8,90
athletic,8,78
atlas,5,53
atmosphere,10,120
atom,4,49
atomic,6,61
atonement,9,107
atop,4,52
atrium,6,82
atrocious,9,121
atrocities,10,119
atrophied,9,96
atropine,8,98
att,3,41
attaboy,7,84
attach,6,53
attache,7,58
attached,8,62
attachment,10,105
attachments,11,124
attack,6,56
attacked,8,65
attacker,8,79
attackers,9,98
attacking,9,86
attacks,7,75
attain,6,65
attained,8,74
attempt,7,95
attempted,9,104
attempting,10,125
attempts,8,114
attend,6,64
attendance,10,87
attendant,9,99
attendants,10,118
attended,8,73
attending,9,94
attends,7,83
attention,9,118
attentions,10,137
attentive,9,116
attest,6,85
attic,5,53
attired,7,77
attitude,8,100
attitudes,9,119
attorney,8,118
attorneys,9,137
attract,7,83
attracted,9,92
attracting,10,113
attraction,10,121
attractive,10,119
attracts,8,102
attribute,9,116
attributed,10,120
attributes,10,135
attuned,7,85
auction,7,83
auctioneer,10,111
auctioning,10,113
audacity,8,84
audible,7,54
audience,8,62
audiences,9,81
audio,5,50
audiotape,9,92
audit,5,55
audited,7,64
auditing,8,85
audition,8,93
auditioning,11,123
auditions,9,112
auditor,7,88
auditorium,10,131
auditory,8,113
auger,5,52
aught,5,57
augmentation,12,140
august,6,89
auk,3,33
auld,4,38
aunt,4,56
auntie,6,70
aunties,7,89
aunts,5,75
aura,4,41
auras,5,60
aurora,6,74
auspicious,10,133
authentic,9,101
authenticate,12,127
authenticated,13,131
authenticity,12,155
author,6,83
authoritative,13,169
authorities,11,145
authority,9,137
authorization,13,177
authorize,9,123
authorized,10,127
authorizing,11,148
authors,7,102
autism,6,83
autistic,8,102
auto,4,57
autobiographical,16,158
autograph,9,107
autographed,11,116
autographs,10,126
automated,9,100
automatic,9,103
automatically,13,153
automatics,10,122
automaton,9,120
automobile,10,113
automobiles,11,132
automotive,10,141
autonomous,10,154
autonomy,8,124
autopsies,9,125
autopsy,7,117
autumn,6,90
auxiliary,9,120
ava,3,24
availability,12,123
available,9,65
avalanche,9,67
avatar,6,63
avatars,7,82
ave,3,28
avenge,6,54
avenged,7,58
avenger,7,72
avengers,8,91
avenue,6,68
average,7,59
averages,8,78
averse,6,70
aversion,8,103
aviation,8,91
avid,4,36
avocado,7,61
avoid,5,51
avoidance,9,74
avoided,7,60
avoiding,8,81
avoids,6,70
aw,2,24
await,5,54
awaiting,8,84
awaits,6,73
awake,5,41
awaken,6,55
awakened,8,64
awakening,9,85
awakes,6,60
award,5,47
awarded,7,56
awards,6,66
aware,5,48
awareness,9,105
away,4,50
awe,3,29
awed,4,33
awesome,7,81
awful,5,63
awfully,7,100
awhile,6,58
awkward,7,81
awkwardly,9,118
awkwardness,11,138
awoke,5,55
awol,4,51
awry,4,67
ax,2,25
axe,3,30
axel,4,42
axis,4,53
axle,4,42
ay,2,26
aye,3,31
ba,2,3
baa,3,4
baba,4,6
babble,6,24
babbling,8,49
babe,4,10
babes,5,29
babies,6,38
baboon,6,49
baboons,7,68
babu,4,26
baby,4,30
babysitter,10,121
babysitters,11,140
bach,4,14
bachelor,8,64
bachelorette,12,114
bachelors,9,83
back,4,17
backbone,8,53
backdoor,8,69
backdrop,8,70
backed,6,26
backer,6,40
backfire,8,55
backfired,9,59
backfires,9,74
backfiring,10,80
backgammon,10,80
background,10,96
backhand,8,44
backing,7,47
backpack,8,48
backpacking,11,78
backpacks,9,67
backroom,8,78
backs,5,36
backseat,8,62
backside,8,54
backslide,9,66
backstabbing,12,91
backstage,9,69
backstreet,10,104
backstroke,10,105
backup,6,54
backups,7,73
backward,8,63
backwards,9,82
backyard,8,65
bacon,5,35
bacteria,8,59
bacterial,9,71
bad,3,7
badder,6,34
baddest,7,55
badge,5,19
badgered,8,46
badgering,9,67
badges,6,38
badly,5,44
badminton,9,92
badness,7,64
baffled,7,36
baffles,7,51
baffling,8,57
bag,3,10
bagel,5,27
bagels,6,46
baggage,7,30
bagged,6,26
baggies,7,50
bagging,7,47
baggy,5,42
bagman,6,38
bagpipes,8,75
bags,4,29
bah,3,11
bail,4,24
bailed,6,33
bailey,6,54
bailiff,7,45
bailiffs,8,64
bailing,7,54
bails,5,43
bait,4,32
baited,6,41
baiting,7,62
bake,4,19
baked,5,23
baker,5,37
bakeries,8,70
bakers,6,56
bakery,6,62
bakes,5,38
baking,6,44
baklava,7,50
balance,7,38
balanced,8,42
balances,8,57
balancing,9,63
balboa,6,33
balconies,9,80
balcony,7,72
bald,4,19
balding,7,49
baldness,8,76
bale,4,20
balk,4,26
ball,4,27
ballads,7,51
ballast,7,67
balled,6,36
baller,6,50
ballerina,9,74
ballet,6,52
ballgame,8,53
ballistic,9,87
ballistics,10,106
ballon,6,56
balloon,7,71
balloons,8,90
ballot,6,62
ballots,7,81
ballpark,8,73
ballplayer,10,104
ballplayers,11,123
ballpoint,9,101
ballroom,8,88
balls,5,46
ballsy,6,71
balm,4,28
balmoral,8,74
baloney,7,74
bam,3,16
bambino,7,56
bamboo,6,48
bamboozled,10,95
ban,3,17
banal,5,30
banality,8,84
banana,6,33
bananas,7,52
band,4,21
bandage,7,34
bandages,8,53
bandit,6,50
bandits,7,69
bands,5,40
bandwagon,9,81
bane,4,22
bang,4,24
banged,6,33
bangers,7,66
banging,7,54
bangles,7,60
bangs,5,43
banish,6,53
banished,8,62
banister,8,88
banjo,5,42
bank,4,28
bankbooks,9,90
banker,6,51
bankers,7,70
banking,7,58
bankroll,8,85
bankrolled,10,94
bankrupt,8,103
bankruptcy,10,131
bankrupted,10,112
banks,5,47
banned,6,40
banner,6,54
banners,7,73
banning,7,61
bannister,9,102
banquet,7,80
banshee,7,54
banter,6,60
banzai,6,53
baptism,7,80
baptist,7,87
baptists,8,106
baptize,7,79
baptized,8,83
bar,3,21
barb,4,23
barbarian,9,66
barbarians,10,85
barbaric,8,54
barbecue,8,57
barbecued,9,61
barbecues,9,76
barbed,6,32
barber,6,46
barbers,7,65
barbershop,10,104
barbs,5,42
bard,4,25
bare,4,26
bared,5,30
barefoot,8,82
barely,6,63
barf,4,27
barfed,6,36
barfing,7,57
bargain,7,52
bargained,9,61
bargaining,10,82
barge,5,33
barged,6,37
barges,6,52
barging,7,58
baring,6,51
barium,6,64
bark,4,32
barked,6,41
barkeep,7,58
barker,6,55
barking,7,62
barks,5,51
barley,6,63
barlow,6,71
barmaid,7,48
barman,6,49
barn,4,35
barnacle,8,56
barnyard,8,83
barometer,9,97
baron,5,50
baroness,8,93
baronet,7,75
baroque,7,79
barracks,8,73
barracuda,9,69
barrage,7,52
barre,5,44
barred,6,48
barrel,6,56
barreling,9,86
barrels,7,75
barren,6,58
barricade,9,61
barricaded,10,65
barricades,10,80
barrier,7,71
barring,7,69
barrio,6,63
barrister,9,110
barroom,7,82
barrow,6,77
bars,4,40
barstool,8,102
bartender,9,87
bartending,10,94
barter,6,64
base,4,27
baseball,8,54
based,5,31
baseless,8,82
baseman,7,55
basement,8,79
basements,9,98
bases,5,46
bash,4,30
bashed,6,39
bashful,7,69
bashing,7,60
basic,5,34
basically,9,84
basics,6,53
basil,5,43
basin,5,45
basis,5,50
bask,4,33
basket,6,58
basketball,10,85
basketballs,11,104
baskets,7,77
basking,7,63
bass,4,41
bassett,7,86
bassinet,8,89
bassoon,7,85
bastard,7,65
bastards,8,84
baste,5,47
bastille,8,80
bat,3,23
batch,5,34
bates,5,47
bath,4,31
bathe,5,36
bathed,6,40
bathing,7,61
bathrobe,8,71
bathrobes,9,90
bathroom,8,92
bathrooms,9,111
baths,5,50
bathtub,7,74
batman,6,51
baton,5,52
bats,4,42
batted,6,52
batter,6,66
battered,8,75
batteries,9,99
battering,9,96
battery,7,91
batting,7,73
battle,6,60
battlefield,11,96
battleground,12,139
battles,7,79
battleship,10,112
battling,8,85
batty,5,68
bauble,6,43
baubles,7,62
bawdy,5,55
bawl,4,38
bawling,7,68
bay,3,28
bayberry,8,96
bayonet,7,82
bayou,5,64
bays,4,47
bazaar,6,49
bazooka,7,71
be,2,7
beach,5,19
beaches,7,43
beacon,6,40
beaded,6,21
beads,5,31
beagle,6,32
beak,4,19
beakers,7,61
beam,4,21
beamed,6,30
beaming,7,51
beams,5,40
bean,4,22
beanbag,7,32
beanie,6,36
beans,5,41
bear,4,26
bearable,8,46
beard,5,30
bearded,7,39
beards,6,49
bearer,6,49
